tipo;by;post_message;picture;link;link_domain;post_published;post_published_unix;post_published_sql;likes;likes_count_fb;comments_count_fb;comments_all;comments_base;comments_replies;shares;comment_likes;engagement;post_id;post_link
photo;post_page_171645503710;#Buongiorno da Palazzo Reale #Genova.  _Il più bello tra tutti i palazzi di Genova è a mio giudizio quello di Gerolamo Durazzo in via dei Balbi. Riuscirò a ricordare tutto quello che ho visto lì dentro?_ C. De Brosses_ 1739 www.palazzorealegenova.beniculturali.it #Italiaviaggianellabellezza #MiBACTsocial  Palazzo Reale;https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13177360_10154226151858711_1289171253767094103_n.jpg?oh=c80fbd52be4fceb0f776372276598750&oe=57D01E41;https://www.facebook.com/MIBACT/photos/a.10151777168173711.1073741871.171645503710/10154226151858711/?type=3;facebook.com;2016-05-17T08:14:39+0000;1463472879;17/05/2016 10:14;479;484;9;9;7;2;91;2;581;171645503710_10154226152418711;https://www.facebook.com/MIBACT/posts/10154226152418711
photo;post_page_171645503710;Buon #compleanno al Teatro La Fenice che venne inaugurato il 16 maggio 1792 #Venezia;https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13254437_1161536877231648_3403178153094965899_n.jpg?oh=c1de3c4cff4d5234dde4f3a2e64c859d&oe=57E0D74D;https://www.facebook.com/LaFeniceufficiale/photos/a.306826192702725.85406.306020989449912/1161536877231648/?type=3;facebook.com;2016-05-16T09:26:22+0000;1463390782;16/05/2016 11:26;961;969;11;10;9;1;0;7;978;171645503710_10154224061308711;https://www.facebook.com/MIBACT/posts/10154224061308711
photo;post_page_171645503710;#Buongiorno dall_antica città di Elea-Velia #Salerno L’antica città di Elea_ che deriva il suo nome dalla sorgente locale Hyele_ fu fondata intorno al 540 a.C. da un gruppo di esuli provenienti dalla città greca di Focea_ nell’attuale Turchia_ occupata dai Persiani. La città_ nota nel V sec. soprattutto per le figure di Parmenide e Zenone_ fondatori della scuola filosofica eleatica_ raggiunge un periodo di grande sviluppo in età ellenistica e in gran parte dell’età romana (fine IV a.C. – V sec. d.C.)_ quando il suo nome viene modificato in Velia. Con il Medioevo l’abitato si ritira sull’Acropoli_ dove viene costruito un castello. Le strutture architettoniche della città antica sono immerse in una vasta area di macchia mediterranea e di rigogliosi uliveti costituendo uno splendido connubio tra archeologia e natura. Scopriamo di più su http://www.beniculturali.it/mibac/opencms/MiBAC/sito-MiBAC/Luogo/MibacUnif/Luoghi-della-Cultura/visualizza_asset.html?id=150685&pagename=157031 #Italiaviaggianellabellezza #MiBACTsocial;https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13244818_10154223945158711_6395219614258656993_n.jpg?oh=a40d05fed109e9f0fc3b8dcc92ef0bf5&oe=57D88302;https://www.facebook.com/MIBACT/photos/a.10151777168173711.1073741871.171645503710/10154223945158711/?type=3;facebook.com;2016-05-16T07:54:03+0000;1463385243;16/05/2016 09:54;1465;1477;62;61;40;21;651;85;2262;171645503710_10154223947508711;https://www.facebook.com/MIBACT/posts/10154223947508711
photo;post_page_171645503710;A Chiusi (SI) dal 29 luglio al 7 agosto sarà #FOLLIA Orizzonti Festival giunge quest’anno alla sua quattordicesima edizione.  Da tre anni_ sotto la Direzione artistica di Andrea Cigni_ la manifestazione si è imposta come una delle realtà più interessanti e innovative nel panorama artistico nazionale_ caratterizzandosi come luogo privilegiato e ideale di incontro_ scambio_ espressione e residenza di artisti_ spettatori e operatori PROGRAMMA SU www.orizzontifestival.it/follia2016/;https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13232961_10154219758873711_4536168784970962867_n.jpg?oh=de6c3a8b6b132f4c1e997a460bac06ff&oe=57A24D9F;https://www.facebook.com/MIBACT/photos/a.10151777168173711.1073741871.171645503710/10154219758873711/?type=3;facebook.com;2016-05-14T11:55:18+0000;1463226918;14/05/2016 13:55;86;88;4;4;4;0;55;8;153;171645503710_10154219764573711;https://www.facebook.com/MIBACT/posts/10154219764573711
photo;post_page_171645503710;Inaugura oggi la mostra “Igor Mitoraj a #Pompei__ alla presenza del Presidente della Repubblica Sergio Mattarella e del Ministro Dario Franceschini - pagina ufficiale  Foto di Umberto Cesino Pompeii - Soprintendenza #MiBACTsocial http://www.beniculturali.it/mibac/export/MiBAC/sito-MiBAC/Contenuti/MibacUnif/Comunicati/visualizza_asset.html_466280845.html;https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13164210_10154218603568711_7137828384136812768_n.jpg?oh=8f536206977153fd9575d969fa8e0920&oe=57E766E5;https://www.facebook.com/MIBACT/photos/a.190659273710.126437.171645503710/10154218603568711/?type=3;facebook.com;2016-05-14T07:03:01+0000;1463209381;14/05/2016 09:03;1330;1338;50;49;36;13;442;36;1857;171645503710_10154218603568711;https://www.facebook.com/MIBACT/posts/10154218603568711:0
photo;post_page_171645503710;RITROVATE! Le tele trafugate dal museo di Castelvecchio a #Verona torneranno presto in Italia.  Grazie a Polizia di Stato e CARABINIERI TPC.  http://www.beniculturali.it/mibac/export/MiBAC/sito-MiBAC/Contenuti/MibacUnif/Comunicati/visualizza_asset.html_303048656.html;https://scontent.xx.fbcdn.net/v/l/t1.0-0/s130x130/13237614_10154217855043711_4108838588234658357_n.jpg?oh=d3f9676ebd5021bf739167d2f1141c4e&oe=57D355F7;https://www.facebook.com/MIBACT/photos/a.10151777168173711.1073741871.171645503710/10154217855043711/?type=3;facebook.com;2016-05-13T14:18:50+0000;1463149130;13/05/2016 16:18;1116;1129;23;23;15;8;284;29;1452;171645503710_10154217858493711;https://www.facebook.com/MIBACT/posts/10154217858493711
photo;post_page_171645503710;#Buongiorno dal Museo Nazionale Etrusco di Viterbo_ presso la rocca Albornoz.  Addossata ad un tratto di mura urbane_ la Rocca Albornoz_ sede del Museo Archeologico Nazionale_ domina la piazza antistante nella quale fa bella mostra una fontana in peperino disegnata dal Vignola.  Edificata nel 1354 dal Cardinale Gil Alvarez Carrillo de Albornoz_ dopo una serie di distruzioni e ristrutturazioni_ vide nel 1506 l_intervento di Giulio II che chiamò il Bramante per la realizzazione del cortile e della fontana centrale. Dopo le ultime devastazioni belliche_ il recupero effettuato dal Genio Civile dal 1960 al 1979 è stato curato dalla Soprintendenza B.A.A. del Lazio insieme con la Soprintendenza Archeologica per l_Etruria Meridionale che ne ha destinato la struttura a sede museale. Scopriamo di più http://www.polomusealelazio.beniculturali.it/index.php?it/174/museo-nazionale-etrusco-rocca-albornoz #Italiaviaggianellabellezza;https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13221627_10154217222508711_1137590596188541671_n.jpg?oh=bb5feac67d9fd99b6d4e538366ce2012&oe=57D3285F;https://www.facebook.com/MIBACT/photos/a.190659273710.126437.171645503710/10154217222508711/?type=3;facebook.com;2016-05-13T07:33:05+0000;1463124785;13/05/2016 09:33;289;290;4;4;4;0;79;2;374;171645503710_10154217223208711;https://www.facebook.com/MIBACT/posts/10154217223208711
photo;post_page_171645503710;Buon #Compleanno Vanvitelli!  Nato Lodewijk van Wittel (Napoli_ 12 maggio 1700 – Caserta_ 1º marzo 1773)_ è stato un pittore e architetto italiano di origine olandese. #MiBACTsocial;https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13177359_10154215713743711_395909263637805029_n.jpg?oh=3cf8f78986693e7d3188094ffdd6971c&oe=57DB9BD1;https://www.facebook.com/MIBACT/photos/a.10151777168173711.1073741871.171645503710/10154215713743711/?type=3;facebook.com;2016-05-12T14:52:37+0000;1463064757;12/05/2016 16:52;2095;2102;34;34;22;12;685;46;2860;171645503710_10154215718423711;https://www.facebook.com/MIBACT/posts/10154215718423711
photo;post_page_171645503710;Fino al 16 maggio la 29ma edizione del Salone Internazionale del Libro di Torino. Programma su www.salonelibro.it;https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13164175_10154215640573711_5442159997771518693_n.jpg?oh=fbb1b46c2c95476727838ef8b60d1c6d&oe=57D7DB22;https://www.facebook.com/MIBACT/photos/a.190659273710.126437.171645503710/10154215640573711/?type=3;facebook.com;2016-05-12T13:55:50+0000;1463061350;12/05/2016 15:55;48;48;0;0;0;0;11;0;59;171645503710_10154215640573711;https://www.facebook.com/MIBACT/posts/10154215640573711:0
photo;post_page_171645503710;#Buongiorno da Palazzo Lanfranchi_ #Matera Massima espressione dell_ architettura del Seicento a Matera_ l’edificio viene costruito come Seminario_ aderendo ai dettami tridentini_ per volere del vescovo Vincenzo Lanfranchi (1665-1676) che affida il progetto al frate Francesco da Copertino. La costruzione_ iniziata nel 1668 ed ultimata quattro anni dopo_ ingloba la preesistente chiesa del Carmine_ il cui prospetto principale diviene parte della scenografica facciata del nuovo complesso vescovile_ rivolta verso il ’Piano’ della Città. Dal 2003 è sede del Museo Nazionale d’Arte Medievale e Moderna_ il cui percorso espositivo si snoda_ al primo piano del Palazzo_ in tre sezioni: Arte sacra_ Collezionismo e Arte contemporanea. Scopriamolo su http://www.artibasilicata.beniculturali.it/index.php?it/99/museo-nazionale-palazzo-lanfranchi #Italiaviaggianellabellezza #MiBACTsocial;https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13230290_10154215217083711_1469419441443402239_n.jpg?oh=5ecc8c45cf8884b38e70983349480e26&oe=57DF7F21;https://www.facebook.com/MIBACT/photos/a.190659273710.126437.171645503710/10154215217083711/?type=3;facebook.com;2016-05-12T09:00:42+0000;1463043642;12/05/2016 11:00;337;341;12;12;6;6;74;9;432;171645503710_10154215221148711;https://www.facebook.com/MIBACT/posts/10154215221148711
