position;post_id;post_by;post_text;post_published;comment_id;comment_by;is_reply;comment_message;comment_published;comment_like_count
0_1;171645503710_10154226152418711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;#Buongiorno da Palazzo Reale #Genova.  _Il più bello tra tutti i palazzi di Genova è a mio giudizio quello di Gerolamo Durazzo in via dei Balbi. Riuscirò a ricordare tutto quello che ho visto lì dentro?_ C. De Brosses_ 1739 www.palazzorealegenova.beniculturali.it #Italiaviaggianellabellezza #MiBACTsocial  Palazzo Reale;2016-05-17T08:14:39+0000;10154226152418711_10154227323598711;ef7a0f2321a2e8415c91a5ae16be876929c13e5e;0;L'ho visitato più volte e ogni volta mi ha lasciato senza fiato: meraviglia!;2016-05-17T20:01:54+0000;0
0_2;171645503710_10154226152418711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;#Buongiorno da Palazzo Reale #Genova.  _Il più bello tra tutti i palazzi di Genova è a mio giudizio quello di Gerolamo Durazzo in via dei Balbi. Riuscirò a ricordare tutto quello che ho visto lì dentro?_ C. De Brosses_ 1739 www.palazzorealegenova.beniculturali.it #Italiaviaggianellabellezza #MiBACTsocial  Palazzo Reale;2016-05-17T08:14:39+0000;10154226152418711_10154227057973711;c40702a3bddd189bea2f32b3d8ef64a82f65d67a;0;Así es Dulce Anita todas las plazas son bellas pero en partícular el Palazzo Reale es singular sut hermosura. Gracias Dulce Anita.;2016-05-17T17:36:58+0000;0
0_3;171645503710_10154226152418711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;#Buongiorno da Palazzo Reale #Genova.  _Il più bello tra tutti i palazzi di Genova è a mio giudizio quello di Gerolamo Durazzo in via dei Balbi. Riuscirò a ricordare tutto quello che ho visto lì dentro?_ C. De Brosses_ 1739 www.palazzorealegenova.beniculturali.it #Italiaviaggianellabellezza #MiBACTsocial  Palazzo Reale;2016-05-17T08:14:39+0000;10154226152418711_10154227111443711;b5b463f83619f7c8a99d72c2d43a90c7bb49017f;1;"Il volontariato è l'unico modo per ""lavorare"" nei bbcc";2016-05-17T18:01:32+0000;0
0_4;171645503710_10154226152418711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;#Buongiorno da Palazzo Reale #Genova.  _Il più bello tra tutti i palazzi di Genova è a mio giudizio quello di Gerolamo Durazzo in via dei Balbi. Riuscirò a ricordare tutto quello che ho visto lì dentro?_ C. De Brosses_ 1739 www.palazzorealegenova.beniculturali.it #Italiaviaggianellabellezza #MiBACTsocial  Palazzo Reale;2016-05-17T08:14:39+0000;10154226152418711_10154226387228711;8184dfc23104146481d796405bcb0c4e8771e309;0;Io ci ho fatto per anni volontariato sulle visite guidate.bellissima esperienza bellissimo luogo;2016-05-17T11:18:52+0000;1
0_5;171645503710_10154226152418711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;#Buongiorno da Palazzo Reale #Genova.  _Il più bello tra tutti i palazzi di Genova è a mio giudizio quello di Gerolamo Durazzo in via dei Balbi. Riuscirò a ricordare tutto quello che ho visto lì dentro?_ C. De Brosses_ 1739 www.palazzorealegenova.beniculturali.it #Italiaviaggianellabellezza #MiBACTsocial  Palazzo Reale;2016-05-17T08:14:39+0000;10154226152418711_10154226223058711;b5b463f83619f7c8a99d72c2d43a90c7bb49017f;1;Lavorare??? Nei bbcc?? Ahahahahahaha;2016-05-17T09:16:14+0000;0
0_6;171645503710_10154226152418711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;#Buongiorno da Palazzo Reale #Genova.  _Il più bello tra tutti i palazzi di Genova è a mio giudizio quello di Gerolamo Durazzo in via dei Balbi. Riuscirò a ricordare tutto quello che ho visto lì dentro?_ C. De Brosses_ 1739 www.palazzorealegenova.beniculturali.it #Italiaviaggianellabellezza #MiBACTsocial  Palazzo Reale;2016-05-17T08:14:39+0000;10154226152418711_10154226187203711;2c744d934f1237d083ca061dba9e1f8547321018;0;lavorare in un posto cosi un sogno :-);2016-05-17T08:48:28+0000;0
0_7;171645503710_10154226152418711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;#Buongiorno da Palazzo Reale #Genova.  _Il più bello tra tutti i palazzi di Genova è a mio giudizio quello di Gerolamo Durazzo in via dei Balbi. Riuscirò a ricordare tutto quello che ho visto lì dentro?_ C. De Brosses_ 1739 www.palazzorealegenova.beniculturali.it #Italiaviaggianellabellezza #MiBACTsocial  Palazzo Reale;2016-05-17T08:14:39+0000;10154226152418711_10154226989153711;3b74df8ced023cfccaa76df37029a127d1ff9d2e;0;Splendido!;2016-05-17T17:00:48+0000;0
0_8;171645503710_10154226152418711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;#Buongiorno da Palazzo Reale #Genova.  _Il più bello tra tutti i palazzi di Genova è a mio giudizio quello di Gerolamo Durazzo in via dei Balbi. Riuscirò a ricordare tutto quello che ho visto lì dentro?_ C. De Brosses_ 1739 www.palazzorealegenova.beniculturali.it #Italiaviaggianellabellezza #MiBACTsocial  Palazzo Reale;2016-05-17T08:14:39+0000;10154226152418711_10154226502668711;4686066dc576c1763742f904f05bfc1ee8e7514c;0;Bellissimo;2016-05-17T12:40:11+0000;0
0_9;171645503710_10154226152418711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;#Buongiorno da Palazzo Reale #Genova.  _Il più bello tra tutti i palazzi di Genova è a mio giudizio quello di Gerolamo Durazzo in via dei Balbi. Riuscirò a ricordare tutto quello che ho visto lì dentro?_ C. De Brosses_ 1739 www.palazzorealegenova.beniculturali.it #Italiaviaggianellabellezza #MiBACTsocial  Palazzo Reale;2016-05-17T08:14:39+0000;10154226152418711_10154227292723711;7ece081bd5454fe79260ca5f7fad779e84d909c0;0;Giovanni Podestà;2016-05-17T19:44:24+0000;1
1_1;171645503710_10154224061308711;480c0cc2ae6611db5dad797cbba49ab98ca03ab2;Buon #compleanno al Teatro La Fenice che venne inaugurato il 16 maggio 1792 #Venezia;2016-05-16T09:26:22+0000;10154224061308711_10154224696648711;1773df8826cac9a2650bdfb0ce4d62f161a3e65a;0;Prima rappresentazione della Traviata;2016-05-16T16:00:50+0000;1
