UK Minimum Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 & Winter 2018. Last updated 03/01/2019

     JA  Yea     FE  Yea     MA  Yea     AP  Yea     MA  Yea     JU  Yea     JU  Yea     AU  Yea    SEP  Yea     OC  Yea     NO  Yea     DE  Yea     WI  Yea     SP  Yea     SU  Yea     AU  Yea     AN  Year
    3.6 1916    3.8 1998    4.7 1957    5.7 2011    7.6 2008   10.6 2017   12.5 2006   12.7 1997   11.3 2006    9.4 2001    6.4 1994    5.2 2015   3.03 1989   5.17 2014  11.34 2003   7.97 2011   6.30 2014
    3.2 2007    3.1 1990    4.2 1938    5.3 2014    7.5 2017   10.1 2016   12.1 2003   12.2 2004   11.0 2016    8.8 2005    5.8 2011    4.8 1934   2.79 2007   5.00 2017  11.14 2006   7.95 2006   6.11 2006
    3.1 1989    3.0 1961    3.8 1990    5.3 2007    7.5 1999   10.1 2003   12.1 1983   11.9 1975   10.5 1949    8.5 2006    5.3 2015    4.2 1988   2.78 1935   4.96 1999  10.99 2018   7.47 2014   6.03 2017
    3.1 1921    3.0 1945    3.7 2017    5.0 1943    7.3 2014   10.0 1976   12.0 2018   11.8 2008   10.3 1999    8.4 1969    5.1 1997    4.1 1974   2.63 2016   4.80 2011  10.92 2016   7.31 2001   5.99 2002
    2.8 1990    2.9 1926    3.6 1997    4.8 2018    7.3 1964    9.9 2014   11.9 2013   11.8 1995   10.2 1958    8.4 1968    5.1 1938    3.7 1971   2.63 1998   4.78 2007  10.84 2004   7.06 2009   5.98 2011
    2.7 1983    2.9 1918    3.5 1998    4.8 2004    7.2 1998    9.9 2007   11.9 1991   11.7 2003   10.1 2011    8.3 2013    5.0 2002    3.7 1953   2.57 1975   4.72 1992  10.82 1997   7.03 1978   5.97 2004
    2.6 1932    2.6 2017    3.4 2012    4.8 1961    7.2 1952    9.9 2004   11.8 1995   11.7 1990    9.9 2005    8.2 2017    4.9 1953    3.7 1924   2.48 2014   4.62 1998  10.73 2017   6.98 1949   5.95 2007
    2.5 2008    2.6 2011    3.4 1981    4.7 1993    7.1 1992    9.8 2018   11.8 1933   11.6 2002    9.9 2000    8.2 1995    4.8 2014    3.3 2018   2.34 1925   4.55 1952  10.70 1995   6.97 2005   5.88 2005
    2.5 2005    2.5 2014    3.4 1961    4.6 2009    7.0 1970    9.8 2005   11.6 2010   11.6 1955    9.9 1998    8.0 2011    4.6 2009    3.2 1942   2.32 1923   4.54 1961  10.70 1933   6.96 1995   5.85 1999
    2.5 1975    2.5 2002    3.4 1945    4.6 1987    6.9 2018    9.8 1966   11.6 1923   11.6 1911    9.9 1980    7.9 2014    4.6 1951    3.1 1954   2.26 1990   4.54 1945  10.69 1947   6.93 1999   5.77 1998
    2.4 1944    2.4 1914    3.3 1991    4.6 1949    6.9 2011    9.7 2006   11.5 2014   11.5 2009    9.7 2014    7.6 1990    4.5 2018    3.1 1910   2.26 1943   4.51 2002  10.66 2013   6.93 1968   5.77 1997
